Cell Preparation,Stoichiometry,Cytokine conditioning,Donor,Time,IFNg,IL-10,IL-17a,IL-2,IL-4,IL-6,TNF
Pure NK,1:1,No cytokine,276,1.0,1.92316321871225e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.9016324386417526e-08,3.0800562973453844e-08
Pure NK,1:1,No cytokine,276,3.0,3.642007449113587e-08,1.9075507241185223e-08,8.536235005092829e-08,3.3617965228714615e-08,2.3994324530988e-08,1.0031721152499012e-07,4.3040941640361195e-08
Pure NK,1:1,No cytokine,276,6.0,1.2563935788623802e-08,1.3286511169572474e-08,1.4231418971726092e-07,1.5982565543759956e-08,6.66068645433638e-09,1.7495189256254054e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,276,12.0,1.2563935788623802e-08,1.6986882093596463e-08,8.536235005092829e-08,1.877099311543453e-08,6.66068645433638e-09,1.9016324386417526e-08,1.9514450720446743e-07
Pure NK,1:1,No cytokine,276,18.0,1.2563935788623802e-08,1.9465306127380372e-08,8.536235005092829e-08,1.5982565543759956e-08,7.919808776738413e-09,4.442745910843303e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,276,24.0,1.2563935788623802e-08,7.465354056645608e-09,1.1652294421105937e-07,2.8679415000670395e-08,1.8241256524603616e-08,4.497575547525475e-07,3.4745926391007655e-08
Pure NK,1:1,No cytokine,276,30.0,2.4302134131090523e-08,2.2693677377664602e-08,1.2131472236201026e-07,1.5982565543759956e-08,6.66068645433638e-09,3.6385276665600843e-07,3.102814170362534e-08
Pure NK,1:1,No cytokine,276,36.0,1.2563935788623802e-08,1.606758074020138e-08,2.373784598304653e-07,1.5982565543759956e-08,1.0860211949025581e-08,3.956730946342412e-07,1.6426580761002536e-07
Pure NK,1:1,No cytokine,276,42.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,3.9636312501731477e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,276,48.0,4.867526832581188e-08,1.2082508730924439e-08,8.536235005092829e-08,1.5982565543759956e-08,8.124768363123822e-09,3.036525015809263e-07,1.4466970500473944e-07
Pure NK,1:1,No cytokine,276,60.0,1.3897539021292941e-08,7.465354056645608e-09,1.401579031679244e-07,1.5982565543759956e-08,4.89738594988568e-08,4.117560328712834e-07,4.3040941640361195e-08
Pure NK,1:1,No cytokine,276,72.0,6.570104639803629e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,8.839368170770971e-09,4.964529167619999e-07,1.604583355952083e-07
Pure NK,1:1,No cytokine,277,1.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,3.3617965228714615e-08,6.66068645433638e-09,4.353361604254719e-08,4.3040941640361195e-08
Pure NK,1:1,No cytokine,277,3.0,1.9629773776421546e-08,1.4880177662348031e-08,8.536235005092829e-08,1.5982565543759956e-08,1.9304291723722432e-08,8.677521123472165e-08,3.0800562973453844e-08
Pure NK,1:1,No cytokine,277,6.0,2.5253969529807233e-08,1.341980665082423e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.089254083194013e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,277,12.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,3.8554451961769526e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,277,18.0,6.410112822005654e-08,1.100520975128843e-08,1.3870903778830093e-07,1.5982565543759956e-08,7.096160934730233e-09,4.884970731129494e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,277,24.0,1.2563935788623802e-08,1.5672482071934225e-08,8.536235005092829e-08,3.006891596782701e-08,6.66068645433638e-09,4.080831532791468e-07,7.008062727844342e-08
Pure NK,1:1,No cytokine,277,30.0,2.3343403813761194e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,8.3293693695681e-09,3.054736573166786e-08,6.14304705035426e-08
Pure NK,1:1,No cytokine,277,36.0,1.3897539021292941e-08,1.0056494528616257e-08,1.5688770198603002e-07,1.5982565543759956e-08,8.941119424502898e-09,4.4678806548054134e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,277,42.0,1.4530268479947006e-08,2.2693677377664602e-08,8.536235005092829e-08,1.5982565543759956e-08,2.2183894486462057e-08,3.188266594835425e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,277,48.0,1.2563935788623802e-08,1.7248896351770663e-08,8.536235005092829e-08,2.2858310300270458e-08,1.785365710816525e-08,3.0154762223592017e-07,5.4580440627920285e-08
Pure NK,1:1,No cytokine,277,60.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.6907705502910622e-08,9.34733184121939e-09,3.693982725008504e-07,1.0606202078140317e-07
Pure NK,1:1,No cytokine,277,72.0,1.2563935788623802e-08,2.1921949208376054e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,3.272106838800833e-07,8.417350630901279e-08
Pure NK,1:1,No cytokine,278,1.0,3.265748888663558e-08,9.375010954718348e-09,1.1243552993591901e-07,1.5982565543759956e-08,6.66068645433638e-09,5.2181297186949033e-08,3.0800562973453844e-08
Pure NK,1:1,No cytokine,278,3.0,1.92316321871225e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,4.4078122770568396e-08,3.0800562973453844e-08
