HGAL,PID,Export C1A1,Export C1A2,Export C1B1,Export C1B2,Export C1C1,Export C1C2,Export C1E1,Export C1E2,Class 1 Status,Who Modified,Date Modified,Verified BC,Verified homo A,Verified homo B,Verified homo C,Verified homo E
07G00144,20731,02:183,26:01,56:01,56:01,01:02,01:02,A,G,Published,yukiy,05/29/2018,1,,,,
07G00505,20514,02:01,24:02,51:09,56:01,01:02,01:02,G,G,Published,yukiy,10/02/2018,1,,,,
07G01447,21124,02:01,11:01,27:05,27:05,01:02,01:02,A,G,Published,CSSMCS,01/07/2020,1,,,,
77W00847,13670P,02:07,11:01,46:01,46:01,01:02,01:02,G,G,Preliminary,tangm2,09/26/2017,,,,,
77W00142,13252P,02:07,02:07,46:01,46:01,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00154,12651S,02:07,11:01,46:01,46:01,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00514,10248P,02:07,02:07,,46:01,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00223,6440P,02:07,11:01,46:01,56:04,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00068,13286S,02:07,11:01,46:01,46:01,01:02,01:02,,,Preliminary,yukiy,09/20/2018,,,,,
77W00324,17423S,02:07,24:02,46:01,56:01,01:02,01:02,,,Preliminary,yukiy,09/20/2018,,,,,
77W00440,10485P,02:07,02:07,46:01,46:01,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00451,1542S,02:07,11:01,46:01,46:01,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00438,12659S,02:07,02:07,46:01,46:01,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00511,70023P,02:01,02:07,46:01,46:01,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00234,17492P,02:07,11:01,40:01,46:01,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00456,FG055P,02:01,02:03,46:01,46:01,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00972,17165P,02:07,11:01,46:01,46:01,01:02,01:02,G,G,Preliminary,tangm2,09/26/2017,,,,,
77W00473,FG009P,02:07,24:02,46:01,46:01,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00347,12400P,02:07,02:07,46:01,46:01,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00465,FG007P,02:07,02:07,46:01,46:01,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00210,7013S,02:07,33:03,46:01,46:01,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00778,70087S,02:07,02:07,46:01,46:01,01:02,01:02,G,G,Preliminary,tangm2,09/26/2017,,,,,
77W00622,928835S,02:03,02:07,46:01,55:02,01:02,01:02,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W00200,6390S,02:07,24:02,46:01,55:02,01:02,01:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00728,70074C,02:07,11:01,46:01,54:01,01:02,01:02,,,Preliminary, Darlene Marti,11/08/2007,,,,,
77W00018,2894C2,02:07,11:01,46:01,46:01,01:02,01:02,,,Preliminary,Tang,02/29/2008,,,,,
77W00158,70019C,02:07,33:03,46:01,46:01,01:02,01:02,,,Preliminary,Tang,03/07/2008,,,,,
77W00439,12659C,02:07,02:07,46:01,46:01,01:02,01:02,,,Preliminary, Darlene Marti,02/29/2008,,,,,
77W00968,17122C,02:06,02:07,46:01,55:02,01:02,01:02,,,Preliminary,Tang,03/07/2008,,,,,
66k00587,BUC698,02:01,03:01,27:05,56:01,01:02,01:02,,,Preliminary,yukiy,05/24/2013,,,,,
77W02324,77W02324,02:07,02:07,46:01,46:01,01:02,01:02,G,G,Preliminary,CSSMCS,10/24/2017,,,,,
01A00035,KS10021,02:01,25:01,27:05,40:02,01:02,02:02,,,Published,yukiy,02/24/2014,1,,,,
05E00538,W09001001,02:01,02:01,27:05,51:01,01:02,02:02,,,Published,Tang,03/07/2008,1,,,,
07G00011,21095,02:01,02:01,27:05,44:02,01:02,02:02,A,G,Published,yukiy,05/11/2018,1,,,,
07G00452,10512,02:01,11:01,27:02,27:05,01:02,02:02,A,G,Published,yukiy,09/21/2018,1,,,,
07G00833,21090,02:01,24:02,18:01,27:05,01:02,02:02,A,G,Published,yukiy,08/17/2018,1,,,,
07G01056,10072,02:01,31:01,27:05,27:05,01:02,02:02,A,G,Published,yukiy,09/21/2018,1,,,,
07G01191,10425,02:01,11:01,27:05,27:05,01:02,02:02,A,G,Published,yukiy,10/02/2018,1,,,,
05E00808,HER015WRV,01:01,32:01,15:01,27:05,01:02,02:02,,,Published, Darlene Marti,01/16/2008,,,,,
