Structure.,Time,CD94-LLL,NKG2A-LLL,CD94/NKG2A-LLL,CD94-VLL,NKG2A-VLL,CD94/NKG2A-VLL
EpL8-3cdg-0000,0,0,0,0,0,0,0
EpL8-3cdg-0010,10,3.1,3.1,3.1,3.738,5.328,4.592
EpL8-3cdg-0020,20,1.734,2.647,2.232,3.04,4.616,3.899
EpL8-3cdg-0030,30,1.71,2.532,2.156,4.833,6.611,5.78
EpL8-3cdg-0040,40,2.06,2.902,2.511,3.946,4.804,4.391
EpL8-3cdg-0050,50,1.955,3.346,2.732,4.349,5.442,4.919
EpL8-3cdg-0060,60,2.089,4.211,3.311,4.172,5.427,4.833
EpL8-3cdg-0070,70,2.066,3.057,2.603,4.311,5.015,4.672
EpL8-3cdg-0080,80,2.06,3.711,2.992,4.097,5.065,4.6
EpL8-3cdg-0090,90,3.444,4.195,3.833,3.861,5.48,4.73
EpL8-3cdg-0100,100,3.088,4.951,4.115,3.616,4.388,4.016
EpL8-3cdg-0110,110,1.932,4.046,3.158,3.887,6.137,5.123
EpL8-3cdg-0120,120,2.793,4.472,3.718,3.52,4.89,4.252
EpL8-3cdg-0130,130,3.387,4.157,3.787,3.579,3.765,3.672
EpL8-3cdg-0140,140,2.474,3.845,3.225,2.947,5.075,4.137
EpL8-3cdg-0150,150,3.454,4.579,4.049,2.382,5.609,4.291
EpL8-3cdg-0160,160,2.456,3.88,3.238,2.488,5.038,3.958
EpL8-3cdg-0170,170,2.239,2.669,2.461,2.346,5.547,4.24
EpL8-3cdg-0180,180,2.402,2.802,2.607,2.094,6.023,4.487
EpL8-3cdg-0190,190,3.582,4.325,3.966,2.452,4.626,3.69
EpL8-3cdg-0200,200,3.037,3.762,3.414,2.059,4.821,3.691
EpL8-3cdg-0210,210,2.306,3.677,3.061,2.024,4.971,3.778
EpL8-3cdg-0220,220,2.398,4.11,3.355,3.507,6.974,5.499
EpL8-3cdg-0230,230,2.476,3.623,3.096,2.488,6.711,5.037
EpL8-3cdg-0240,240,2.331,3.387,2.901,3.878,9.988,7.542
EpL8-3cdg-0250,250,1.67,3.143,2.508,3.524,8.78,6.66
EpL8-3cdg-0260,260,3.792,4.096,3.945,3.207,6.485,5.097
EpL8-3cdg-0270,270,2.266,3.209,2.772,2.684,5.367,4.228
EpL8-3cdg-0280,280,1.688,3.371,2.656,3.574,6.778,5.399
EpL8-3cdg-0290,290,1.99,3.601,2.9,2.797,6.166,4.768
EpL8-3cdg-0300,300,2.106,3.083,2.634,3.305,5.95,4.797
EpL8-3cdg-0310,310,2.384,3.287,2.866,2.863,5.577,4.417
EpL8-3cdg-0320,320,2.398,3.618,3.062,2.697,4.897,3.94
EpL8-3cdg-0330,330,2.45,3.727,3.146,1.981,3.877,3.068
EpL8-3cdg-0340,340,2.145,3.068,2.642,2.985,5.265,4.266
EpL8-3cdg-0350,350,1.68,2.433,2.086,2.512,4.9,3.88
EpL8-3cdg-0360,360,1.706,3.048,2.462,2.883,5.817,4.574
EpL8-3cdg-0370,370,1.557,2.871,2.301,2.339,4.999,3.887
EpL8-3cdg-0380,380,1.302,2.592,2.043,3.425,6.464,5.155
EpL8-3cdg-0390,390,1.509,2.773,2.225,2.349,5.628,4.294
EpL8-3cdg-0400,400,1.623,2.363,2.023,2.442,5.695,4.363
EpL8-3cdg-0410,410,2.088,4.072,3.224,2.821,5.355,4.265
EpL8-3cdg-0420,420,1.608,2.653,2.187,1.91,5.18,3.885
EpL8-3cdg-0430,430,1.919,3.051,2.542,2.436,3.828,3.2
EpL8-3cdg-0440,440,1.545,2.665,2.171,2.504,3.681,3.141
EpL8-3cdg-0450,450,1.702,2.763,2.288,2.525,4.093,3.391
EpL8-3cdg-0460,460,1.398,2.74,2.167,1.984,3.338,2.737
EpL8-3cdg-0470,470,1.415,2.625,2.101,1.951,3.209,2.648
EpL8-3cdg-0480,480,1.948,2.671,2.333,2.02,4.665,3.579
EpL8-3cdg-0490,490,1.793,2.239,2.026,1.787,3.784,2.947
EpL8-3cdg-0500,500,1.719,3.329,2.64,1.73,3.288,2.618
EpL8-3cdg-0510,510,1.988,3.046,2.566,1.757,2.663,2.25
EpL8-3cdg-0520,520,1.951,3.538,2.848,1.838,4.31,3.299
EpL8-3cdg-0530,530,2.043,3.547,2.885,1.585,2.849,2.298
EpL8-3cdg-0540,540,2.168,3.293,2.781,1.416,3.443,2.621
EpL8-3cdg-0550,550,1.882,4.145,3.206,2.118,3.815,3.075
EpL8-3cdg-0560,560,2.074,3.575,2.913,1.428,2.529,2.047
EpL8-3cdg-0570,570,2.489,4.242,3.467,1.759,2.616,2.224
EpL8-3cdg-0580,580,2.404,3.307,2.885,1.866,2.269,2.075
EpL8-3cdg-0590,590,2.128,3.721,3.022,1.783,2.723,2.296
EpL8-3cdg-0600,600,2.251,3.797,3.112,1.614,2.425,2.055
EpL8-3cdg-0610,610,1.936,3.422,2.771,2.431,3.417,2.959
EpL8-3cdg-0620,620,2.414,3.312,2.892,2.098,3.213,2.707
EpL8-3cdg-0630,630,2.123,4.159,3.29,1.998,3.105,2.604
EpL8-3cdg-0640,640,2.033,3.581,2.902,1.845,2.307,2.086
EpL8-3cdg-0650,650,2.229,3.974,3.212,1.913,3.367,2.73
EpL8-3cdg-0660,660,1.934,3.22,2.648,1.659,2.175,1.931
EpL8-3cdg-0670,670,1.989,2.916,2.49,1.651,2.066,1.868
EpL8-3cdg-0680,680,1.554,2.469,2.058,1.889,2.673,2.31
EpL8-3cdg-0690,690,1.919,3.24,2.655,1.714,2.473,2.123
EpL8-3cdg-0700,700,1.705,2.917,2.382,1.398,2.39,1.952
EpL8-3cdg-0710,710,1.663,2.804,2.299,1.468,2.74,2.191
EpL8-3cdg-0720,720,2.015,3.373,2.77,2.144,2.634,2.399
EpL8-3cdg-0730,730,1.711,3.083,2.485,1.914,2.974,2.494
EpL8-3cdg-0740,740,1.825,2.882,2.406,1.519,2.813,2.253
EpL8-3cdg-0750,750,1.702,3.15,2.523,1.851,2.466,2.177
EpL8-3cdg-0760,760,1.672,3.165,2.522,1.486,2.423,2.004
EpL8-3cdg-0770,770,1.447,3.065,2.387,1.821,2.693,2.294
EpL8-3cdg-0780,780,1.593,2.937,2.355,2.413,3.643,3.083
EpL8-3cdg-0790,790,2.094,2.679,2.4,2.643,4.537,3.701
EpL8-3cdg-0800,800,2.34,3.351,2.884,1.76,2.562,2.193
EpL8-3cdg-0810,810,2.837,3.148,2.995,1.986,2.676,2.352
EpL8-3cdg-0820,820,1.564,3.788,2.885,1.611,2.832,2.297
EpL8-3cdg-0830,830,1.781,2.532,2.184,1.76,3.021,2.465
EpL8-3cdg-0840,840,2.125,3.33,2.786,1.898,3.021,2.516
EpL8-3cdg-0850,850,1.613,3.392,2.646,2.228,2.58,2.409
EpL8-3cdg-0860,860,2.129,3.024,2.61,2.206,2.757,2.493
EpL8-3cdg-0870,870,2.381,3.443,2.954,1.733,2.689,2.257
EpL8-3cdg-0880,880,1.869,2.868,2.415,2.117,3.067,2.629
EpL8-3cdg-0890,890,2.136,3.699,3.011,2.162,3.093,2.663
EpL8-3cdg-0900,900,2.525,4.217,3.465,1.929,2.494,2.226
EpL8-3cdg-0910,910,3.17,4.212,3.721,1.899,2.456,2.192
EpL8-3cdg-0920,920,2.174,3.432,2.865,1.827,2.196,2.017
EpL8-3cdg-0930,930,1.288,2.537,2.004,1.392,3.089,2.386
EpL8-3cdg-0940,940,1.52,3.785,2.871,1.747,3.23,2.588
EpL8-3cdg-0950,950,1.776,5.755,4.237,1.296,2.323,1.875
EpL8-3cdg-0960,960,3.379,5.11,4.321,1.837,3.003,2.482
EpL8-3cdg-0970,970,2.311,3.23,2.803,2.28,2.453,2.367
EpL8-3cdg-0980,980,1.851,2.594,2.249,1.517,2.767,2.224
EpL8-3cdg-0990,990,2.319,4.036,3.281,1.721,2.284,2.019
EpL8-3cdg-1000,1000,2.229,4.217,3.361,1.696,2.46,2.108
EpL8-3cdg-1010,1010,2.223,4.201,3.349,1.831,2.227,2.036
EpL8-3cdg-1020,1020,2.183,6.583,4.88,1.342,2.172,1.8
EpL8-3cdg-1030,1030,1.92,5.317,3.978,1.588,3.519,2.719
EpL8-3cdg-1040,1040,1.835,3.652,2.879,2.287,5.641,4.285
EpL8-3cdg-1050,1050,2.26,3.025,2.665,1.797,4.438,3.37
EpL8-3cdg-1060,1060,1.772,2.564,2.199,2.337,3.872,3.189
EpL8-3cdg-1070,1070,2.632,3.981,3.366,2.23,4.264,3.39
EpL8-3cdg-1080,1080,2.484,3.54,3.052,2.713,4.089,3.462
EpL8-3cdg-1090,1090,2.522,3.146,2.847,2.327,5.67,4.315
EpL8-3cdg-1100,1100,2.105,2.895,2.526,1.219,2.051,1.682
EpL8-3cdg-1110,1110,1.957,2.424,2.2,1.801,5.549,4.104
EpL8-3cdg-1120,1120,1.773,3.603,2.829,1.865,2.98,2.479
EpL8-3cdg-1130,1130,2.172,4.571,3.565,1.887,4.384,3.361
EpL8-3cdg-1140,1140,2.339,2.777,2.565,2.584,3.705,3.188
EpL8-3cdg-1150,1150,2.311,2.91,2.624,2.683,3.727,3.241
EpL8-3cdg-1160,1160,2.151,3.354,2.811,1.391,3.549,2.683
EpL8-3cdg-1170,1170,1.973,2.536,2.269,1.931,2.427,2.19
EpL8-3cdg-1180,1180,1.685,2.584,2.176,1.771,2.092,1.936
EpL8-3cdg-1190,1190,1.985,2.8,2.422,2.026,3.766,3.014
EpL8-3cdg-1200,1200,2.203,3.501,2.917,2.114,5.442,4.109
EpL8-3cdg-1210,1210,1.794,2.371,2.099,2.163,10.561,7.579
EpL8-3cdg-1220,1220,2.802,3.792,3.328,2.211,9.385,6.78
EpL8-3cdg-1230,1230,1.471,4.256,3.169,2.21,10.75,7.717
EpL8-3cdg-1240,1240,1.985,6.653,4.884,1.775,7.64,5.515
EpL8-3cdg-1250,1250,2.339,3.067,2.723,1.989,8.091,5.859
EpL8-3cdg-1260,1260,2.04,3.551,2.887,2.394,7.698,5.671
EpL8-3cdg-1270,1270,2.167,4.732,3.665,2.493,8.52,6.244
EpL8-3cdg-1280,1280,1.535,1.784,1.662,3.078,8.67,6.474
EpL8-3cdg-1290,1290,1.385,2.665,2.116,2.892,8.696,6.448
EpL8-3cdg-1300,1300,1.823,2.589,2.234,2.512,7.455,5.536
EpL8-3cdg-1310,1310,1.637,2.87,2.329,2.043,9.179,6.612
EpL8-3cdg-1320,1320,2.105,4.082,3.236,1.996,9.002,6.483
EpL8-3cdg-1330,1330,1.792,2.836,2.366,1.67,8.568,6.137
EpL8-3cdg-1340,1340,1.91,2.815,2.4,2.068,10.126,7.266
EpL8-3cdg-1350,1350,1.707,2.454,2.109,3.79,9.786,7.386
EpL8-3cdg-1360,1360,1.864,3.468,2.774,2.104,8.383,6.078
EpL8-3cdg-1370,1370,1.921,3.444,2.78,2.998,8.527,6.36
EpL8-3cdg-1380,1380,1.607,3.948,3.001,3.43,9.779,7.292
EpL8-3cdg-1390,1390,2.162,4.137,3.289,3.649,9.193,6.962
