Structure.,Time,a1+a2,a1+a22,a1+a2+b,a21R,pep_1-9R,pep_1-9,p_5789,CD94R,NKG2AR,CDNKG2R,CDNKG2A
EpL8-3cdg-0000,0,0,0,0,0,0,0,0,0,0,0,0
EpL8-3cdg-0010,10,0.823,0.812,0.762,0.804,1.913,1.758,1.689,3.1,3.1,3.1,1.816
EpL8-3cdg-0020,20,0.982,1.026,0.854,0.56,2.087,1.892,1.766,1.734,2.647,2.232,1.914
EpL8-3cdg-0030,30,0.921,0.853,0.827,1.104,2.118,1.907,1.663,1.71,2.532,2.156,1.747
EpL8-3cdg-0040,40,1.13,1.209,0.951,0.597,2.121,1.921,1.699,2.06,2.902,2.511,1.654
EpL8-3cdg-0050,50,0.751,0.767,0.789,0.572,2.08,1.85,1.702,1.955,3.346,2.732,1.71
EpL8-3cdg-0060,60,0.94,0.94,0.798,0.808,2.097,1.817,1.693,2.089,4.211,3.311,1.683
EpL8-3cdg-0070,70,0.741,0.694,0.693,0.806,2.087,1.789,1.511,2.066,3.057,2.603,1.527
EpL8-3cdg-0080,80,0.827,0.828,0.745,0.819,2.152,1.815,1.553,2.06,3.711,2.992,1.498
EpL8-3cdg-0090,90,0.924,0.973,0.87,0.681,2.063,1.813,1.541,3.444,4.195,3.833,1.555
EpL8-3cdg-0100,100,1.261,1.348,1.081,0.746,2.097,1.829,1.654,3.088,4.951,4.115,1.862
EpL8-3cdg-0110,110,0.76,0.788,0.778,0.572,2.216,1.925,1.686,1.932,4.046,3.158,1.564
EpL8-3cdg-0120,120,0.83,0.876,0.741,0.598,2.14,1.904,1.68,2.793,4.472,3.718,1.802
EpL8-3cdg-0130,130,0.81,0.851,0.73,0.527,1.91,1.754,1.604,3.387,4.157,3.787,1.629
EpL8-3cdg-0140,140,0.866,0.897,0.792,0.576,1.999,1.763,1.517,2.474,3.845,3.225,1.59
EpL8-3cdg-0150,150,0.94,1.002,0.817,0.458,2.056,1.777,1.643,3.454,4.579,4.049,1.654
EpL8-3cdg-0160,160,0.977,0.953,0.863,0.714,2.034,1.858,1.674,2.456,3.88,3.238,1.589
EpL8-3cdg-0170,170,1.022,1.107,0.915,0.524,2.305,1.968,1.57,2.239,2.669,2.461,1.392
EpL8-3cdg-0180,180,1.082,1.147,0.985,0.573,2.178,1.87,1.589,2.402,2.802,2.607,1.601
EpL8-3cdg-0190,190,1.114,1.167,1.005,0.799,2.126,1.874,1.578,3.582,4.325,3.966,1.645
EpL8-3cdg-0200,200,0.876,0.921,0.771,0.471,2.218,1.907,1.652,3.037,3.762,3.414,1.516
EpL8-3cdg-0210,210,1.027,1.082,0.878,0.599,2.134,1.826,1.578,2.306,3.677,3.061,1.542
EpL8-3cdg-0220,220,0.772,0.808,0.717,0.584,1.767,1.652,1.433,2.398,4.11,3.355,1.393
EpL8-3cdg-0230,230,0.962,1.002,0.889,0.69,1.987,1.824,1.632,2.476,3.623,3.096,1.64
EpL8-3cdg-0240,240,0.818,0.863,0.759,0.518,2.015,1.751,1.551,2.331,3.387,2.901,1.695
EpL8-3cdg-0250,250,0.85,0.9,0.827,0.626,2.131,1.864,1.64,1.67,3.143,2.508,1.656
EpL8-3cdg-0260,260,0.981,0.991,0.896,0.925,1.998,1.729,1.445,3.792,4.096,3.945,1.584
EpL8-3cdg-0270,270,1.123,1.168,0.965,0.809,2.138,1.925,1.518,2.266,3.209,2.772,1.793
EpL8-3cdg-0280,280,0.943,0.98,0.8,0.559,1.937,1.734,1.343,1.688,3.371,2.656,1.637
