No,HGAL,SP-1A,SP-2A,SP-6B,SP-1C,SP-2C,BLCLpredict,Monocytepredict,NKG2A,3D12 MFI
1,10J00014,2,0,1,1,0,20.5834,17.6424,9.52,21.411
2,10J00020,1,1,1,1,0,17.6373,16.2547,15.245,21.977
3,10J00237,1,1,1,0,1,14.9279,15.4002,19.248,16.87
4,10J00040,1,1,1,1,0,17.6373,16.2547,27.278,32.873
5,10J00223,0,0,1,1,0,17.1702,15.8822,9.315,28.851
7,42M00141,1,0,0,1,0,22.6569,18.7439,18.33,22.211
8,42M00053,0,0,0,1,0,20.9503,17.8638,9.06,19.037
9,42M00783,1,0,1,0,0,13.8065,14.7785,5.235,14.842
11,42M01246,0,0,1,1,0,17.1702,15.8822,18.213,25.779
12,66K00096,2,0,1,1,0,20.5834,17.6424,27.398,23.472
13,05E00440,0,0,0,1,0,20.9503,17.8638,23.473,15.627
14,05E00427,1,0,1,0,0,13.8065,14.7785,11.57,25.6
15,CAR39224,1,0,0,0,1,19.9475,17.8894,38.18,30.654
16,CAR28875,0,0,0,0,0,15.88,15.88,1.433,4.55
17,CAR26184,1,0,1,0,1,16.1674,15.9078,25.883,24.844
18,CAR25141,2,0,1,1,0,20.5834,17.6424,17.538,32.858
19,CAR28888,1,0,0,1,0,22.6569,18.7439,22.258,11.823
20,CAR28913,2,0,1,1,0,20.5834,17.6424,25.983,20.004
21,CAR39241,2,0,1,1,0,20.5834,17.6424,16.098,16.029
22,CAR46046,2,0,1,1,0,20.5834,17.6424,20.813,19.43
24,CAR25165,0,0,0,2,0,26.0206,19.8476,26.445,15.963
25,CAR25536,0,0,0,1,1,23.3112,18.9931,27.753,18.702
26,CAR26188,0,0,1,2,0,22.2405,17.866,23.42,28.207
27,CAR26217,0,0,1,1,1,19.5311,17.0115,26.698,23.568
28,CAR28929,0,0,0,1,1,23.3112,18.9931,24.803,14.559
29,CAR30507,0,0,1,1,1,19.5311,17.0115,28.098,15.892
30,CAR37508,0,0,0,2,0,26.0206,19.8476,22.913,11.358
31,CAR38576,0,0,0,1,1,23.3112,18.9931,6.838,8.676
32,CAR38586,0,0,1,2,0,22.2405,17.866,24.71,19.555
33,CAR39375,0,0,0,1,1,23.3112,18.9931,28.305,14.047
34,CAR44756,0,0,0,2,0,26.0206,19.8476,31.91,16.558
35,CAR01548,0,1,0,1,1,22.0717,18.4855,24.195,14.756
36,CAR01559,0,2,0,2,0,23.5416,18.8324,10.308,28.193
37,CAR01561,2,0,0,2,0,29.4338,21.6078,29.68,21.085
38,CAR01591,2,0,0,1,0,24.3635,19.624,27.933,26.702
39,CAR01601,1,1,0,1,1,23.7783,19.3656,21.565,25.799
40,CAR01622,1,1,0,1,1,23.7783,19.3656,19.803,31.965
41,CAR24573,2,0,0,1,0,24.3635,19.624,29.44,22.33
42,CAR08414,1,1,2,1,0,13.8572,14.2731,13.56,16.997
43,CAR24590,0,1,2,2,0,17.2209,15.3768,9.443,21.902
44,CAR25164,2,0,2,0,1,14.0939,14.8063,17.673,23.682
45,CAR26233,0,1,2,2,0,17.2209,15.3768,9.39,12.33
46,CAR27379,1,1,2,0,0,8.7869,12.2893,14.445,25.823
47,CAR29570,0,1,2,1,0,12.1506,13.393,11.44,28.277
