Total NK,CD56dim,CD56bright,NKG2A+KIR-,NKG2A+KIR+,NKG2A-KIR+,NKG2A-KIR-
22.66,21.17,58.92,48.65,30.12,13.8,14.79
45.21,27.63,91.06,80.63,36.11,12.35,13.27
19.72,18.39,90.88,68.1,30.15,7.87,7.58
18.08,16.51,106.44,58,30.98,8.72,9.08
24.64,21.86,72.77,56.43,31.68,10.98,10.38
24.12,20.7,55.69,53.3,27.15,13.49,17.22
33.66,32.68,80.76,48.42,35.68,14.58,16.17
33.43,26.78,92.58,62.61,34.73,11.3,12.78
18.52,15.18,114.79,84.02,27.29,6.41,7.88
31.16,27.3,91.03,61.51,33.09,15.09,16.52
30.45,18.63,75.72,73.3,30.77,6.58,10.63
55.52,37.12,93.19,79.45,36.21,10.16,13.74
34.98,30.08,80.03,54.66,33.56,11.54,13.52
55.58,49.52,99.91,72.9,47.98,15.83,17.52
20.81,19.81,62.66,42.06,28.59,9.79,13.53
59.88,48.84,93.43,78.86,53.22,10.07,13.4
34.69,32.02,90.05,63.11,36.77,12.16,16.01
23.45,21.98,62.97,51.53,30.83,12.98,12.53
32.08,17.57,64.46,65.6,31.94,3.58,8.91
20.27,16.93,58.35,46.34,28.25,7.5,12.44
22.59,18.46,55.44,48.81,34.21,5.48,11.59
25.36,23.51,79.04,53.11,29.89,13.33,14.61
19.29,13.52,60.04,55.4,28.81,6.25,7.63
27.88,17.51,64.4,65.51,30.31,8.51,11.8
23.58,20.25,58.87,61.46,31.63,4.4,7.88
42.9,40.09,99.07,68.47,43.29,14.22,15.47
33.92,22.96,55.17,56.65,41.39,5.75,13.99
54.16,23.28,63.78,68.93,51.35,10.11,11.58
33.84,29.56,73.18,48.12,33.84,11.94,13.38
33.5,24.1,66.75,54.45,30.9,13.3,15.88
46.09,43.41,138.28,75.67,44.62,12.77,16
56.11,46.25,123.84,82.38,52.9,13.08,15.22
23.7,18.99,59.88,53.67,35.38,7.74,14.73
27.06,24.04,84.45,47.39,31.5,11.85,12.32
16.35,14.22,102.19,65,31.25,6.4,3.94
41.35,31.96,87.39,68.48,36.14,13.83,17.19
80.49,77.57,98.33,86.73,67.96,12.97,16.56
12.19,9.37,43.23,38.64,26.6,0.31,6.68
12.71,8.41,64.94,60,24.9,2.69,13.9
17.39,15.11,57.53,53.89,31.35,6.66,11.43
21.4,19.41,66.2,47.27,26.97,10.89,14.9
14.57,12.83,67.53,46.18,29.98,2.37,4.92
31.04,23.98,68.85,56.06,25.61,14.96,15.69
15.58,13.88,62.68,44.68,27.16,7.46,11.36
25.92,21.44,67.56,59.33,32.76,9.2,12.74
18.52,9.34,55.23,52.71,27.96,0.39,9.47
46.41,36.42,156.21,84.63,44.24,10.43,11.59
32.11,28.54,86.46,55,34.98,14.48,16.29
