CD56bright,CD56dim,NKG2A+KIR-,NKG2A+KIR+,NKG2A-KIR+,NKG2A-KIR-
59.39,40.72,54.51,45.95,28.48,26.83
75.17,64.69,67.07,72.97,53.17,19.71
63.17,40.73,61.84,53.95,34.79,16.83
59.84,41.77,50.71,57.19,37.83,15.23
71.87,50.34,67.39,60.96,39.68,18.68
66.83,62.79,53.38,70.96,59.59,35.29
78.44,65.98,69.47,66.03,52.86,35.92
68.02,55.37,60.29,60.52,42.09,29.62
66.82,39.17,65.08,58.95,21.69,14.1
71.17,63.46,68.21,68.26,55.51,39.68
80.41,59.56,70.13,78.08,48.21,29.94
84.99,75.56,79.56,83.83,55.02,39.82
76.48,62.29,65.66,65.05,44.18,26.07
67.85,60.86,59.2,66.39,53.23,25.27
66.14,51.88,41.95,60.46,42.23,27.39
79.05,64.14,72.05,78.1,55.12,28.75
80.44,61.16,71.48,76.65,59.04,40
58.6,33.77,50.37,40.11,19.99,18.05
80.3,64.97,69.78,80.06,56.18,40.8
81.89,63.49,63.86,78.62,54.54,34.98
73.17,48.03,71.34,55.54,33.92,20.18
71.9,50.6,64.46,58.76,37.49,21.48
69.69,43.65,51.33,63.64,31.78,20.52
80.03,45.15,70.73,50.88,30.15,39.57
81.15,62.47,61.22,74.1,50.26,39.46
60.64,54.58,55.42,59.07,41.36,13.25
85.9,58.85,70.06,54.65,43.84,43.07
82.37,60.47,73.81,71.35,37.74,36.36
53.71,36.64,57.25,36.38,14.31,11.32
70.28,57.4,69.81,63.62,50.57,33.75
66.48,49.53,60.77,49.08,31.7,17.68
68.56,54.97,62.08,53.25,35.15,25.48
88.03,59.84,69.71,88.12,79.26,52.48
67.35,56.99,60.61,62.7,42.01,35.29
70.86,38.71,58.1,67.77,21.54,10.92
72.13,62.62,69.87,65.66,51.42,34.19
63.56,61.37,62.03,62.19,40.19,18.59
64.72,31.58,44.32,51.44,22.04,18.83
72.99,41.66,45.63,53.69,34.11,24.26
64.91,43.4,63.64,54.4,35.56,17.1
59.14,45.64,64.76,52.98,38.56,17.69
80.08,60.86,72.24,71.11,52.59,39.39
81.05,65.81,76.56,80.96,78.32,47.4
63.04,37.6,66.91,44.45,30.45,19.74
79.8,61.89,71.76,68.87,49.59,31.34
82.13,60.91,61.45,69.15,48.88,51.19
76.83,66.82,66.63,71.81,58.54,23.89
76.75,61.05,71.1,60.95,46.51,33.86
